Roll Number,Object Oriented Programming in C++,
Data Structure and Algorithms,Systems Analysis and Design,
Financial Accounting II,
Microprocessor,SGPA
,,,,,,,
21535198,C+,F,F,C+,F,-,
21535199,C,C+,Expelled,F,F,-,
21535200,C,B-,C+,B-,A,2.74,
21535201,F,C,F,A-,F,-,
21535202,C+,B-,B+,B-,A-,2.94,
21535203,F,C,B-,F,F,-,
21535204,F,F,C+,F,C+,-,
21535205,F,F,C,F,C,-,
21535206,B,B+,B-,A,A,3.40,
21535207,C+,F,F,A-,B-,-,
21535208,F,B,B-,B,F,-,
21535209,F,B+,B+,A,A,-,
21535211,F,C+,B-,B-,B-,-,
21535212,C,B-,B,A-,A,3.08,
